Path,Format,Options,Dataset,Unicost,Best known solution value,Best known bound,Number of elements,Number of sets,Number of arcs,Average number of sets covering an element,Average number of elements covered by a set,Total cost,Number of connected components,Average number of set neighbors estimate,Average number of elt. neighbors estimate
pace2025_ds/heuristic/heuristic_001.gr,pace2025_ds,,pace2025_ds_heuristic,1,299175,,966941,966941,3547149,3.66842,3.66842,966941,7814,10.7658,10.7658
pace2025_ds/heuristic/heuristic_002.gr,pace2025_ds,,pace2025_ds_heuristic,1,187814,,587230,587230,2108822,3.59113,3.59113,587230,4630,10.3266,10.3266
pace2025_ds/heuristic/heuristic_003.gr,pace2025_ds,,pace2025_ds_heuristic,1,589778,,1965206,1965206,7498420,3.81559,3.81559,1965206,2638,11.7324,11.7324
pace2025_ds/heuristic/heuristic_004.gr,pace2025_ds,,pace2025_ds_heuristic,1,513076,,1517309,1517309,5198837,3.42635,3.42635,1517309,8065,9.33268,9.33268
pace2025_ds/heuristic/heuristic_005.gr,pace2025_ds,,pace2025_ds_heuristic,1,1009,,1027791,1027791,5299763,5.15646,5.15646,1027791,1,2231.64,2231.64
pace2025_ds/heuristic/heuristic_006.gr,pace2025_ds,,pace2025_ds_heuristic,1,983,,962308,962308,4833548,5.02287,5.02287,962308,1,2005.49,2005.49
pace2025_ds/heuristic/heuristic_007.gr,pace2025_ds,,pace2025_ds_heuristic,1,47288,,410236,410236,5289110,12.8928,12.8928,410236,1,379.729,379.729
pace2025_ds/heuristic/heuristic_008.gr,pace2025_ds,,pace2025_ds_heuristic,1,1016,,1054912,1054912,5270400,4.99606,4.99606,1054912,1,2085.46,2085.46
pace2025_ds/heuristic/heuristic_009.gr,pace2025_ds,,pace2025_ds_heuristic,1,178305,,519964,519964,1797286,3.45656,3.45656,519964,4035,9.47453,9.47453
pace2025_ds/heuristic/heuristic_010.gr,pace2025_ds,,pace2025_ds_heuristic,1,135696,,418501,418501,1466305,3.50371,3.50371,418501,2394,9.68688,9.68688
pace2025_ds/heuristic/heuristic_011.gr,pace2025_ds,,pace2025_ds_heuristic,1,1089,,1196689,1196689,5993851,5.0087,5.0087,1196689,1,2219.4,2219.4
pace2025_ds/heuristic/heuristic_012.gr,pace2025_ds,,pace2025_ds_heuristic,1,219299,,650120,650120,2238332,3.44295,3.44295,650120,6831,9.43614,9.43614
pace2025_ds/heuristic/heuristic_013.gr,pace2025_ds,,pace2025_ds_heuristic,1,1028,,1063560,1063560,5329330,5.01084,5.01084,1063560,1,2093.36,2093.36
