Path,Format,Options,Dataset,Unicost,Best known solution value,Best known bound
pace2025_ds/heuristic_private/001.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,225580,0
pace2025_ds/heuristic_private/002.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,55981,0
pace2025_ds/heuristic_private/003.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1577,0
pace2025_ds/heuristic_private/004.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,223550,0
pace2025_ds/heuristic_private/005.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,981,0
pace2025_ds/heuristic_private/006.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1140,0
pace2025_ds/heuristic_private/007.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1250,0
pace2025_ds/heuristic_private/008.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,819,0
pace2025_ds/heuristic_private/009.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1003,0
pace2025_ds/heuristic_private/010.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1223,0
pace2025_ds/heuristic_private/011.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,168976,0
pace2025_ds/heuristic_private/012.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,152814,0
pace2025_ds/heuristic_private/013.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,742903,0
pace2025_ds/heuristic_private/014.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,232653,0
pace2025_ds/heuristic_private/015.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,198982,0
pace2025_ds/heuristic_private/016.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,133615,0
pace2025_ds/heuristic_private/017.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,848,0
pace2025_ds/heuristic_private/018.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,92590,0
pace2025_ds/heuristic_private/019.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,291526,0
pace2025_ds/heuristic_private/020.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,562786,0
pace2025_ds/heuristic_private/021.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,842464,0
pace2025_ds/heuristic_private/022.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,256442,0
pace2025_ds/heuristic_private/023.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,929,0
pace2025_ds/heuristic_private/024.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,143703,0
pace2025_ds/heuristic_private/025.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,405194,0
pace2025_ds/heuristic_private/026.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,132758,0
pace2025_ds/heuristic_private/027.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,247970,0
pace2025_ds/heuristic_private/028.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,797695,0
pace2025_ds/heuristic_private/029.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,86527,0
pace2025_ds/heuristic_private/030.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,174959,0
pace2025_ds/heuristic_private/031.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,268053,0
pace2025_ds/heuristic_private/032.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,635486,0
pace2025_ds/heuristic_private/033.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,138526,0
pace2025_ds/heuristic_private/034.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,430351,0
pace2025_ds/heuristic_private/035.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,47579,0
pace2025_ds/heuristic_private/036.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,598573,0
pace2025_ds/heuristic_private/037.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,1141,0
pace2025_ds/heuristic_private/038.gr,pace2025_ds,,pace2025_ds_heuristic_private,1,74186,0
